"","or","lower","upper","p.val"
"1",0.142103749175921,0.123534562395708,0.163464176650167,0
"2",0.907841685535599,0.6288537113646,1.31060135465794,0.614127408064435
"3",1.1439615704749,1.00728423272703,1.29918451237988,0.0463936625308683
"4",1.00691410664294,0.877018902391901,1.15604807991184,0.922288529176455
"5",1.13343110226234,0.94544234497041,1.35879894782567,0.187604034193763
"6",1.8516649487348,1.67273031956879,2.0497405004633,0
"7",1.46823001520273,0.837411824922249,2.57424043151334,0.195591289736001
"8",1.18542884815117,0.807603622167331,1.74001393190614,0.388863550412678
"9",1.30031750986104,1.16440207150607,1.45209774855884,3.14666350487158e-06
"10",1.04644531446609,0.92988111694694,1.17762128535676,0.451189895383828
"11",0.777241545082564,0.232523942137682,2.59803104079763,0.682332609296362
"12",0.426726164699262,0.384807308084852,0.473211438070684,0
"13",4.29471850019619e-05,7.39948860265116e-06,0.00024926867228796,0
"14",0.9261596952075,0.836136812119618,1.02587491495846,0.141502365690994
"15",1.17709982561818,0.583999787426285,2.37254195857945,0.648435192358303
"16",0.893360896610749,0.623235562126759,1.2805650705645,0.539344881141334
"17",0.204361951750849,0.145124292170356,0.287779576381266,0
"18",0.483530124646595,0.401599643036987,0.582175272051272,1.79856129989275e-14
"19",0.425214847097822,0.353878649732209,0.510931265079842,0
"20",0.535153593561469,0.296416892304714,0.966170876683197,0.0380755758786566
