"","or","lower","upper","p.val"
"1",0.194116667018412,0.170231081972977,0.221353703316759,0
"2",0.901434265130623,0.652804025962949,1.24475907321948,0.537403271010199
"3",1.1603601481783,1.03499515077129,1.30091012743101,0.0144034486203388
"4",1.04393542146678,0.910959018437993,1.19632293235507,0.538640599104345
"5",1.13391668174593,0.97530406957909,1.31832428598047,0.10511604244551
"6",1.87607286087522,1.65470294059214,2.12705815223428,2.06100256860964e-08
"7",1.4348504528588,0.859033432369582,2.39664225452792,0.180613138561652
"8",1.29327372377965,0.8481552793001,1.97199376746093,0.246538409838083
"9",1.07833922718094,0.973685294322241,1.19424160522688,0.147632964442735
"10",0.855979248858365,0.765859184878645,0.956703907118684,0.00615341221792831
"11",0.559698217630902,0.169519034734478,1.84794642861128,0.340956941700364
"12",0.424131584205528,0.385308379868661,0.466866567454383,0
"13",3.39486824345629e-05,6.00543969960154e-06,0.000191911516340639,0
"14",0.905298585752052,0.822396158995234,0.996558070463234,0.0423475627474095
"15",1.58739164162154,0.833719668549684,3.02237348948877,0.159623587748803
"16",0.811523124173821,0.579438506304621,1.13656544034134,0.224335933431105
"17",0.18282729235957,0.132581866239193,0.252114559703268,0
"18",0.430876422636487,0.360656127052879,0.514768716397811,0
"19",0.400336690740316,0.337745603889892,0.474527171063214,0
"20",0.634642922896233,0.390915153363617,1.0303300757636,0.065909716523177
